,Elevation,Veg.mass,Plant.net,pre.AI,Plant.rich,Group
HDX099,4900,236,0.342225952,0.452,11,Below
HDX100,4900,184,0.322799586,0.452,9,Below
HDX101,4900,118,0.484157803,0.452,4,Below
HDX102,4900,132,0.364711799,0.452,9,Below
HDX103,4900,209,0.297565291,0.452,11,Below
HDX104,4900,208,0.384822477,0.452,9,Below
HDX105,4900,312,0.335510316,0.452,10,Below
DH43,4800,294,0.403073435,0.586,7,Below
DH44,4800,309,0.309437969,0.586,8,Below
DH45,4800,444,0.432166577,0.586,5,Below
DH46,4800,310,0.348491627,0.586,8,Below
DH47,4800,311,0.390287366,0.586,11,Below
DH48,4800,253,0.401616673,0.586,5,Below
DH49,4800,513,0.389309071,0.586,11,Below
DH50,4800,328,0.370029344,0.586,7,Below
DH51,4800,265,0.461334442,0.586,5,Below
DH52,4800,262,0.414298527,0.586,7,Below
DH53,4800,275,0.439131845,0.586,8,Below
DH54,4800,246,0.390700564,0.586,4,Below
HDX077,4800,128,0.350149034,0.586,11,Below
HDX078,4800,35,0.255105021,0.586,9,Below
HDX079,4800,9,0.106905414,0.586,2,Below
HDX080,4800,102,0.326547883,0.586,10,Below
HDX081,4800,120,0.367555248,0.586,7,Below
HDX082,4800,70,0.257463814,0.586,6,Below
HDX083,4800,38,0.300813661,0.586,6,Below
HDX084,4800,67,0.279540547,0.586,9,Below
HDX085,4800,113,0.335409011,0.586,9,Below
HDX086,4800,66,0.304745982,0.586,9,Below
HDX087,4800,125,0.344445787,0.586,8,Below
HDX088,4800,48,0.036750081,0.586,3,Below
HDX089,4800,250,0.392268583,0.586,10,Below
HDX090,4800,203,0.370236657,0.586,8,Below
